index,richness,sampling_effort,mean_fnr
24,12,1400,0.0
24,12,1450,0.001
24,12,1500,0.0
25,12,1,1.0
25,12,25,0.4614895564368676
25,12,50,0.2713866237211065
25,12,100,0.11190613026819925
25,12,150,0.0610919540229885
25,12,200,0.04627586206896552
25,12,250,0.02926436781609195
25,12,300,0.01
25,12,350,0.01383784893267652
25,12,400,0.009000000000000001
25,12,450,0.005666666666666666
25,12,500,0.004333333333333333
25,12,550,0.007666666666666666
25,12,600,0.002833333333333333
25,12,650,0.004166666666666667
25,12,700,0.0008333333333333333
25,12,750,0.002
25,12,800,0.005
25,12,850,0.0005
25,12,900,0.0026666666666666666
25,12,950,0.0008333333333333333
25,12,1000,0.0013333333333333333
25,12,1050,0.001
25,12,1100,0.0
25,12,1150,0.001
25,12,1200,0.0
25,12,1250,0.0
25,12,1300,0.0
25,12,1350,0.002
25,12,1400,0.0
25,12,1450,0.0
25,12,1500,0.0008333333333333333
26,13,1,0.9858333333333335
26,13,25,0.4855123260360136
26,13,50,0.27805866018039926
26,13,100,0.1274076923076923
26,13,150,0.07163076923076923
26,13,200,0.05955641025641026
26,13,250,0.023342948717948717
26,13,300,0.02120769230769231
26,13,350,0.01023076923076923
26,13,400,0.016
26,13,450,0.014930769230769232
26,13,500,0.011346153846153848
26,13,550,0.004115384615384615
26,13,600,0.009557692307692307
26,13,650,0.006961538461538461
26,13,700,0.0003846153846153846
26,13,750,0.0013461538461538463
26,13,800,0.0031153846153846158
26,13,850,0.005769230769230769
26,13,900,0.002115384615384615
26,13,950,0.0001923076923076923
26,13,1000,0.0009615384615384616
26,13,1050,0.000576923076923077
26,13,1100,0.0009615384615384616
26,13,1150,0.0
26,13,1200,0.0
26,13,1250,0.0015769230769230769
26,13,1300,0.0
26,13,1350,0.0
26,13,1400,0.0032692307692307686
26,13,1450,0.0
26,13,1500,0.0001923076923076923
27,13,1,0.9900000000000001
27,13,25,0.48668818742614606
27,13,50,0.26401533435631075
27,13,100,0.12507277191586963
27,13,150,0.07226659982174688
27,13,200,0.04285984848484849
27,13,250,0.029954044117647058
27,13,300,0.019272504456327985
27,13,350,0.019852941176470587
27,13,400,0.01657308377896613
27,13,450,0.01213903743315508
27,13,500,0.005588235294117647
27,13,550,0.005641711229946524
27,13,600,0.007820855614973261
27,13,650,0.004117647058823529
27,13,700,0.002941176470588235
27,13,750,0.002379679144385027
27,13,800,0.0020588235294117644
27,13,850,0.0020588235294117644
27,13,900,0.0022058823529411764
27,13,950,0.0029411764705882353
27,13,1000,0.0010294117647058822
27,13,1050,0.0
27,13,1100,0.001176470588235294
27,13,1150,0.0012032085561497327
27,13,1200,0.0017647058823529412
27,13,1250,0.0
27,13,1300,0.0
27,13,1350,0.0
27,13,1400,0.0
27,13,1450,0.0
27,13,1500,0.0
28,13,1,1.0
28,13,25,0.49587898189187696
28,13,50,0.30597138381144307
28,13,100,0.14267420109539417
28,13,150,0.0692602495543672
28,13,200,0.03782475490196078
28,13,250,0.034188948306595364
28,13,300,0.026617647058823534
28,13,350,0.012205882352941178
28,13,400,0.013823529411764705
28,13,450,0.00838235294117647
28,13,500,0.005588235294117647
28,13,550,0.002941176470588235
28,13,600,0.006368092691622104
28,13,650,0.005441176470588236
28,13,700,0.0014705882352941176
28,13,750,0.0002941176470588235
28,13,800,0.001764705882352941
28,13,850,0.0010294117647058822
28,13,900,0.0016176470588235294
28,13,950,0.0007352941176470588
28,13,1000,0.0
28,13,1050,0.0027941176470588237
28,13,1100,0.0010294117647058822
28,13,1150,0.0007352941176470588
28,13,1200,0.0038235294117647057
28,13,1250,0.0024019607843137254
28,13,1300,0.0008823529411764706
28,13,1350,0.0
28,13,1400,0.0
28,13,1450,0.0010294117647058822
28,13,1500,0.0
29,13,1,0.975
29,13,25,0.5015095260132025
29,13,50,0.28129497953027366
29,13,100,0.1320200522516699
29,13,150,0.07978553921568626
29,13,200,0.03829166666666667
29,13,250,0.03022058823529412
29,13,300,0.015955882352941174
29,13,350,0.02150735294117647
29,13,400,0.01088235294117647
29,13,450,0.007720588235294118
29,13,500,0.005294117647058823
29,13,550,0.005036764705882353
29,13,600,0.0020588235294117644
29,13,650,0.005294117647058823
29,13,700,0.004117647058823529
29,13,750,0.0008823529411764705
29,13,800,0.0026470588235294116
29,13,850,0.0029411764705882353
29,13,900,0.0014705882352941176
29,13,950,0.0002941176470588235
29,13,1000,0.0
29,13,1050,0.0
29,13,1100,0.0026470588235294116
29,13,1150,0.0
29,13,1200,0.0
29,13,1250,0.0
29,13,1300,0.0
29,13,1350,0.0
29,13,1400,0.0
29,13,1450,0.0
29,13,1500,0.0008823529411764706
30,13,1,1.0
30,13,25,0.48230586770041106
30,13,50,0.2928446677161848
30,13,100,0.1315170502012607
30,13,150,0.09190647072226019
30,13,200,0.03568181818181818
30,13,250,0.03363636363636364
30,13,300,0.022045454545454545
30,13,350,0.017727272727272727
30,13,400,0.01893939393939394
30,13,450,0.010227272727272725
30,13,500,0.006136363636363637
30,13,550,0.005227272727272727
